ID,Recipe_Name,Ingredients
199,Beef Sirloin Kabobs                                                        ,"bell pepper, cherry tomatoes, italian marinade or flavor of your choice, metal or bamboo skewers, onion, steak"
200,Bite-Size Meatballs with Stroganoff Sauce                                  ,"egg whites, garlic, grated pecorino romano cheese, ground beef, italian seasoning, seasoned bread crumbs, toothpicks (for serving)"
201,Apricot Glazed Chicken with Potatoes                                       ,"chicken breast, flour, ginger, just fruit apricot spread, potatoes, reynolds oven bag, 19 x 23.5-inch, soy sauce"
202,Apricot Glazed Pork Tenderloin                                             ,"bell pepper, carrot, chicken broth, instant rice, uncooked, olive oil, onion, pork tenderloin, s just fruit apricot spread"
205,Florentine Beefsteak                                                       ,"angus strip steaks (1-inch thick), extra virgin olive oil, lemon, ly ground black pepper, sea salt"
208,Old Fashioned Pot Roast                                                    ,"boneless beef chuck roast, flour, pot roast seasoning, reynolds oven bag, 14x20, vegetable stew mix, water"
210,Rolled Beef Cutlet with Pizzaiola Sauce                                    ,"crushed tomatoes, extra virgin olive oil, garlic, oregano, parmesan, rolled beef cutlet"
212,Bratwurst with Sauerkraut and Pierogies                                    ,"garlic, giorgio potato and onion pierogies, kuhne sauerkraut, undrained, onion, pepper to taste, s bratwurst, water"
214,Chicken BBQ Sandwich                                                       ,"american cheese, grill ready chicken cutlets in chicken bbq marinade, iceburg lettuce, low fat mayonnaise, ready crisp bacon, s italiano sandwich rolls, tomato"
216,Chicken Caesar Wrap                                                        ,"chicken, cut for stir fry (meat dept), flour tortillas, haas avacado, peeled and cut into 1/2 inch cubes, onion, romaine lettuce, torn into bite-sized pieces, s reduced fat caesar salad dressing, tomato, vegetable oil"
217,Stroganoff-Style Sauce                                                     ,"beef broth, country dijon mustard, extra virgin olive oil, flour, light sour cream, parlsey flakes, pepper to taste, prepared meatballs (see bite size meatballs recipe in the special occasions category), salt to taste, white mushroom caps, cut in half"
218,Breaded Chicken with Escarole                                              ,"chicken breast, chicken broth, eggs, escarole, extra virgin olive oil, flour, garlic, grated pecorino romano cheese, seasoned bread crumbs"
219,Chicken Pizzaiola                                                          ,"chicken, diced tomatoes, extra virgin olive oil, garlic, italian bread, oregano, parmesan"
220,Balsamic Chicken with Grilled Vegetables                                   ,"balsamic vinegar, chicken breast, chicken broth, grilled vegetables or chose your own favorite, drained, reserve oil, and cut up, parmesan"
222,Chicken & Vegetables with Biscuits                                         ,"broccoli, celery, cubed, cooked chicken, green beans, halved shortcuts babycut carrots, onion, red potato, cut into 1/2-inch pieces, sbaking mix, skim or low-fat milk"
223,Chef Bob's Chicken Tenders with Spinach &Pine Nuts                         ,"chicken, extra virgin olive oil, garlic, ly ground black pepper, parmesan, pine nuts, about .03 lbs from bulk or flora brand from grocery dept., sage leaves, sea salt, spinach"
225,Chicken Parmesan with Fresh Veggies                                        ,"chicken breast, onion, parmesan, reynolds wrap everyday heavy duty aluminum foil,, s food you feel good about tomato and basil sauce, shortcuts matchstick carrots, zucchini"
226,Chicken & Artichoke Kabobs                                                 ,"artichokes, bell pepper, chicken breast, onion, s italian marinade, skewers (if using bamboo, soak in water for 1 hour)"
227,Chicken & Mushroom Skillet                                                 ,"basil, chicken breast, diced tomatoes, extra virgin olive oil, garlic, green beans, mushrooms, onion"
228,Chicken Cacciatore (1998)                                                  ,"chicken breast, crushed tomatoes, extra virgin olive oil, garlic, green pepper, italian seasoning, mushrooms, onion"
229,Breaded Chicken Parmesan                                                   ,"chicken breast, extra virgin olive oil, marinara sauce, mozzarella cheese, parmesan, seasoned bread crumbs"
230,Chicken Piccata                                                            ,"chicken breast, extra virgin olive oil, flour, juice of 1 lemon, parsley, reduced sodium chicken broth"
231,Chicken Saltimbocca Florentine                                             ,"chicken, garlic, olive oil, sage leaves, spinch, stemmed and coarsely chopped (10 ounces), thin slices prosciutto, cut in half"
266,Chicken with Escarole and Black Olives                                     ,"chicken breast, chicken broth, egg whites, escarole, flour, garlic, olive oil, pepper, pitted kalmata or black olives, cut in half, salt"
268,Next Day Turkey Fajita                                                     ,"cooked turkey (white or dark meat), skin removed, extra virgin olive oil, flour tortillas, green pepper, low fat sour cream, onion, s fajita marinade, shredded low fat cheddar cheese"
269,Sauteed Breast of Chicken alla Nonna                                       ,"chicken breast, diced tomatoes, extra virgin olive oil, garlic, onion, oregano"
270,Sauteed Chicken alla Primavera                                             ,"basil leaves, broccoli, chicken breast, diced tomatoes, extra virgin olive oil, grilled vegetables, well drained, pitted green olives, sliced, zucchini"
271,Sauteed Chicken Breasts with Zucchini                                      ,"balsamic vinegar, chicken breast, chicken broth, extra virgin olive oil, onion, sun-dried tomatoes, thyme, zucchini"
